Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes
Marichyasana A,मरीछ्यासन A,Marīchyāsana A,Sage Marichi’s Pose A,Named after Sage Marichi,yoga cikitsā,Jānuśīrṣāsana C,Marīchyāsana A,x,,,,6,"Grounded leg: calf, knee flexors. Gesture leg: knee extensors, external rotators. Hip extensors, back extensors, shoulder retractors, elevators.","[[Añjanēyāsana]], [[Ardhabaddhapadmottānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]].","Hip flexors and adductors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: internal rotators, knee flexors. Abdominals, back extensors, obliques, shoulder depressors and extensors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Daṇḍāsana]], [[Ekapādaśīrṣāsana]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Ākarṇa Dhanurāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Mālāsana]], [[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Supta Matsyendrāsana]], [[Ānandabālāsana]]."
Marichyasana B,मरीछ्यासन B,Marīchyāsana B,Sage Marichi’s Pose B,Named after Sage Marichi,yoga cikitsā,Marīchyāsana A,Marīchyāsana B,x,,,,,,,,,,
Marichyasana C,मरीछ्यासन C,Marīchyāsana C,Sage Marichi’s Pose C,Named after Sage Marichi,yoga cikitsā,Marīchyāsana B,Marīchyāsana C,x,,,,6,"Grounded leg: calf, knee flexors. Gesture leg: knee extensors, external rotators. Hip extensors, back extensors, obliques, chest, shoulder retractors and elevators, throat.","[[Marīchyāsana A]] and its Prep poses, [[Ardha Matsyendrāsana]].","Hip flexors and adductors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: hip abductors, knee flexors. Abdominals, back extensors, obliques, shoulder depressors and extensors, elbow flexors.","[[Adhomukhaśvānāsana]], [[Ardha Matsyendrāsana]], [[Ardhottānāsana]], [[Daṇḍāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Ekapādabakāsana A]].","[[Ardha Matsyendrāsana]], [[Bharadvājāsana]], [[Pārśvabakāsana]], [[Kouṇḍinyāsana B]].","Symmetrical forward bends, [[Baddhakoṇāsana B]], [[Upaviṣṭhakoṇāsana A]], [[Baddhakoṇāsana B]]."
Marichyasana D,मरीछ्यासन D,Marīchyāsana D,Sage Marichi’s Pose D,Named after Sage Marichi,yoga cikitsā,Marīchyāsana C,Marīchyāsana D,x,,,,,,,,,,
Navasana,नावासन​,Nāvāsana,Boat Pose,Nāva = boat,yoga cikitsā,Marīchyāsana D,Nāvāsana,x,,x,Esfuerzo,14,"Hip extensors, knee flexors, back extensors, chest, shoulder retractors and elevators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Hip flexors, adductors, internal rotators of the leg, knee extensors, calves, back extensors, transversus abdominis, shoulder protractors and retractors, external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Tapas]].","Transition to Ardha [[Nāvāsana]] with kapalabhati pranayama, then back up; press into [[Lolasana]] between rounds; [[Utplutiḥ]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].",
Paschimottanasana A,पश्चिमोत्तानासन अ,Paścimottānāsana A,Seated Forward Bend A,Paścima = west; Uttāna = intense stretch,yoga cikitsā,Daṇḍāsana,Paścimottānāsana A,x,,,,7,"Calves, knee flexors, hip extensors, back extensors, shoulder retractors and elevators, chest, shoulder extensors.","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Suptapādāṅguṣṭhāsana A]].","Hip flexors, internal rotators of the leg, knee extensors, foot dorsiflexors, transversus abdominis, back extensors, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Halāsana]], [[Karṇapīḍāsana]], [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","Transition to [[Halāsana]], [[Sarvāṅgāsana]], [[Karṇapīḍāsana]]; [[Upaviṣṭhakoṇāsana A]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Krouncāsana]], [[Kūrmāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Marīchyāsana]] and [[Supta Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Śavāsana]]."
Paschimottanasana D,पश्चिमोत्तानासन च्,Paścimottānāsana C,Seated Forward Bend C,Paścima = west; Uttāna = intense stretch,yoga cikitsā,Paścimottānāsana A,Paścimottānāsana C,x,,,,,,,,,,
Pindasana,पिण्डासन​,Piṇḍāsana,Embryo Pose,Piṇḍa = embryo,yoga cikitsā,Garbhapiṇḍāsana,Piṇḍāsana,x,,,,"4,11","Hip adductors and extensors, internal rotators of the leg, back extensors, shoulder retractors and elevators.",[[Ūrdhvapadmāsana]] and its Prep poses.,"Shoulder stabilizers (emphasis retractors, adductors), back extensors, hip extensors, abdominals.","[[Adhomukhaśvānāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bhujapīḍāsana]], [[Garbhapiṇḍāsana]], [[Halāsana]], [[Karṇapīḍāsana]], [[Kūrmāsana]], [[Marīchyāsana A]], [[Padmāsana]], [[Paścimottānāsana A]], [[Sarvāṅgāsana]], [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvapadmāsana]], [[Uttānāsana]].","Transition to [[Matsyāsana]], to [[Uttānapādāsana]], to [[Cakorāsana]].","[[Matsyāsana]] Prep, [[Uttānapādāsana]], [[Śavāsana]]."
Purvatanasana,पूर्वोत्तानासन​,Pūrvottānāsana,Upward Plank Pose,Pūrva = east; Uttāna = intense stretch,yoga cikitsā,Paścimottānāsana C,Pūrvottānāsana,x,,,,8,"Foot dorsiflexors, hip flexors, abdominals, chest, shoulder flexors and elevators, throat.","[[Añjanēyāsana]], [[Prasāritapādottānāsana C]], [[Ūrdhva Dhanurāsana]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","Wrist synergists, internal rotators of the arm, shoulder stabilizers (emphasis retractors, depressors), throat, back extensors, transversus abdominis, hip extensors and adductors, calves.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Matsyāsana]], [[Nāvāsana]], [[Phalakāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Tāḍāsana]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Vasiṣṭhāsana]].","Eka Pada Variation, “flipping” your [[Adhomukhaśvānāsana]]","[[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Paścimottānāsana]]."
Setu Bandhasana,सेतुबन्धासन,Setubandhāsana,Bridge Pose,Setu = bridge; Bandha = lock,yoga cikitsā,Ūrdhvamukhapaścimottānāsana,Ūrdhva Dhanurāsana,x,,,,13,"Foot dorsiflexors, knee flexors, hip flexors, abdominals, chest, shoulder retractors, throat.","[[Matsyāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Śīrṣāsana]]I, [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Dvipādaviparītadaṇḍāsana]].","Neck, shoulder protractors, retractors, and adductors, back extensors, transversus abdominis, hip extensors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Śīrṣāsana]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Dvipādaviparītadaṇḍāsana]].",This is a peak pose!,"[[Adhomukhaśvānāsana]], [[Śirṣa]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Supta Konasana,सुप्तकोणासन,Suptakoṇāsana,Reclined Wide-Angle Pose,Supta = reclined; Koṇa = angle,yoga cikitsā,Upaviṣṭhakoṇāsana B,Suptakoṇāsana,x,x,,,,,,,,,
Supta Kurmasana,सुप्तकूर्मासन,Suptakūrmāsana,Sleeping Tortoise Pose,Supta = sleeping; Kūrma = tortoise,yoga cikitsā,Kūrmāsana,Suptakūrmāsana,x,,,,,,,,,,
Supta Padangusthasana A,सुप्तपादाङ्गुष्ठासन A,Suptapādāṅguṣṭhāsana A,Reclined Hand to Big Toe Pose A,Supta = reclined; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Suptakoṇāsana,Suptapādāṅguṣṭhāsana A,x,x,,,4,"Grounded leg: foot dorsiflexors, knee flexors, hip flexors. Gesture leg: hip extensors, knee flexors. Back extensors, shoulder elevators, neck.","[[Adhomukhaśvānāsana]], [[Apānāsana]], [[Baddhakoṇāsana B]].","Grounded leg: hip extensors and adductors. Extended leg: hip flexors. Internal rotators of the leg, knee extensors, foot dorsiflexors, obliques, transversus abdominis, shoulder retractors.","In itself a preparation and restorative lala hip extensors and calves. [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Tāḍāsana]], [[Ekapādabakāsana A]].","[[Suptakoṇāsana]], [[Upaviṣṭhakoṇāsana A]], [[Kūrmāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]].","[[Apānāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Supta Padangusthasana B,सुप्तपादाङ्गुष्ठासन B,Suptapādāṅguṣṭhāsana B,Reclined Hand to Big Toe Pose B,Supta = reclined; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Suptapādāṅguṣṭhāsana A,Suptapādāṅguṣṭhāsana B,x,x,,,,,,,,,
Tri-anga Mukha Eka Pada Pashchimottanasana,त्र्यङ्गमुखैकपादपश्चिमोत्तानासन,Tryaṅgamukhaikapāda Paścimottānāsana,Three-Limbed Forward Bend,Triaṅga = three limbs; Mukha = face; Eka = one; Pāda = foot; Paścima = west; Uttāna = intense stretch,yoga cikitsā,Ardhabaddhapadmapaścimottānāsana,Tryaṅgamukhaikapāda Paścimottānāsana,x,,,,7,"[[Vīrabhadrāsana A]] leg: foot dorsiflexors, knee extensors. Extended leg: calf, knee flexors. Hip extensors, back extensors, shoulder extensors, retractors, and elevators.","[[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]]","Hip flexors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: internal rotators, knee flexors. Hip adductors, transversus abdominis, back extensors, obliques, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Bharadvājāsana]] and B, [[Bālāsana]], [[Daṇḍāsana]], [[Garuḍāsana]], [[Marīchyāsana A]] and C, [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Parivṛttotkaṭāsana]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]].","[[Krouncāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]]."
Ubhaya Padangusthasana,उभयपादाङ्गुष्ठासन,Ubhayapādāṅguṣṭhāsana,Both Big Toes Pose,Ubhaya = both; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Suptapādāṅguṣṭhāsana B,Ubhayapādāṅguṣṭhāsana,x,,,,"10,4","Hip extensors, back extensors, shoulder retractors, chest, shoulder elevators, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Nāvāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]] .","Hip flexors, adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, abdominals, shoulder protractors and retractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]] .","[[Ūrdhvamukhapaścimottānāsana]], transition to [[Nāvāsana]] and back.","[[Marīchyāsana]] and [[Supta Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Śavāsana]]."
Upavishta Konasana A,उपविष्ठकोणासन A,Upaviṣṭhakoṇāsana A,Seated Wide-Angle Pose,Upaviṣṭha = seated; Koṇa = angle,yoga cikitsā,Baddhakoṇāsana B,Upaviṣṭhakoṇāsana A,x,x,x,Apertura,4,"Hip adductors and extensors, internal rotators of the leg, knee flexors, calves, back extensors, chest, elbow flexors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Utthitatrikoṇāsana]].","Hip flexors, external rotators of the leg, knee extensors, foot dorsiflexors, transversus abdominis, back extensors, shoulder retractors and adductors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Mālāsana]], [[Pādāṅguṣṭhāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Ekapādabakāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]] , [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].","[[Kūrmāsana]], transition to [[Tiṭṭibhāsana A]] and [[Bhujapīḍāsana]], rock back to[[Suptakoṇāsana]], and up again.","[[Dhanurāsana]], [[Marīchyāsana C]], [[Vīrabhadrāsana A]], [[Gomukhāsana B]], [[Adhomukhaśvānāsana]], [[Bālāsana]]."
Upavishta Konasana B,उपविष्ठकोणासन B,Upaviṣṭhakoṇāsana B,Seated Wide-Angle Pose,Upaviṣṭha = seated; Koṇa = angle,yoga cikitsā,Upaviṣṭhakoṇāsana A,Upaviṣṭhakoṇāsana B,x,x,,,,,,,,,
Urdhva Mukha Paschimottanasana,ऊर्ध्वमुखपश्चिमोत्तानासन,Ūrdhvamukhapaścimottānāsana,Upward Facing Forward Bend,Ūrdhva = upward; Mukha = face; Paścima = west; Uttāna = intense stretch,yoga cikitsā,Ubhayapādāṅguṣṭhāsana,Ūrdhvamukhapaścimottānāsana,x,,,,"10,4","Hip extensors, back extensors, shoulder retractors, chest, shoulder elevators, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Nāvāsana]], [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]] .","Hip flexors, adductors, internal rotators of the leg, knee extensors, calves, back extensors, abdominals, shoulder protractors and retractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana D]], [[Paścimottānāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]] .",Transition to [[Nāvāsana]] and back.,"[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]]."
Utkatasana,उत्कटासन​,Utkaṭāsana,Chair Pose,Utkaṭa = powerful,yoga cikitsā,Ardhabaddhapadmottānāsana,Utkaṭāsana,x,,x,Despertar,9,"Calves, hip extensors, shoulder elevators, extensors, and retractors.","[[Adhomukhaśvānāsana]], [[Śalabhāsana B]], [[Tāḍāsana]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles, knee flexors, hip flexors and extensors, back extensors, transversus abdominis, shoulder protractors and flexors, internal rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Tāḍāsana]], [[Uttānāsana]].","[[Parivṛttotkaṭāsana]], Parivrtta [[Ālāsana]]; transition to sitting on the heels.","[[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]]."
Utthita Hasta Padangusthasana A,उत्थितहस्तपादाङ्गुष्ठासन A,Utthitahastapādāṅguṣṭhāsana A,Extended Hand to Big Toe Pose,Utthita = extended; Hasta = hand; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Pārśvottānāsana,Utthitahastapādāṅguṣṭhāsana A,x,,x,Equilibrio,,,,,,,
Utthita Hasta Padangusthasana B,उत्थितहस्तपादाङ्गुष्ठासन B,Utthitahastapādāṅguṣṭhāsana B,Extended Hand to Big Toe Pose,Utthita = extended; Hasta = hand; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Utthitahastapādāṅguṣṭhāsana A,Utthitahastapādāṅguṣṭhāsana B,x,,,,"10,1","Standing leg: hip flexors. Gesture leg: hip adductors and extensors, internal rotators of the leg, shoulder retractors, chest, neck.","[[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Standing leg: intrinsic foot muscles. Hip stabilizers, (emphasis adductors, internal rotators of the leg). Extended leg: hip flexors. Knee extensors, back extensors, transversus abdominis, obliques. Hasta arm: shoulder retractors, protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Garuḍāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Utkaṭāsana]], [[Vīrabhadrāsana C]].","Draw lifted leg higher without compromising alignment; release clasp of foot, hold lifted leg 5 breaths; Parvritta variation.","[[Tāḍāsana]], [[Garuḍāsana]], [[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]]."
Utthita Hasta Padangusthasana C,उत्थितहस्तपादाङ्गुष्ठासन  C,Utthitahastapādāṅguṣṭhāsana C,Extended Hand to Big Toe Pose,Utthita = extended; Hasta = hand; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Utthitahastapādāṅguṣṭhāsana B,Utthitahastapādāṅguṣṭhāsana C,x,,,,,,,,,,
Virabhadrasana A,वीरभद्रासन अ,Vīrabhadrāsana A,Warrior I,Named after Virabhadra,yoga cikitsā,Utkaṭāsana,Vīrabhadrāsana A,x,,x,Despertar,5,"Foot dorsiflexors, knee extensors, hip abductors and flexors.","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Gomukhāsana B]].","Hip flexors, internal rotators of the leg, knee flexors, transversus abdominis, shoulder retractors and protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharadvājāsana]] and B, [[Bharmanāsana]], [[Garuḍāsana]], [[Utkaṭāsana]].","[[Vajrāsana A]], [[Bhekāsana]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Phalakāsana]], [[Adhomukhaśvānāsana]]."
Virabhadrasana B,वीरभद्रासन ब्,Vīrabhadrāsana B,Warrior II,Named after Virabhadra,yoga cikitsā,Vīrabhadrāsana A,Vīrabhadrāsana B,x,,x,Vitalidad,5,"Front leg: hip extensors, adductors, and internal rotators. Back leg: calf, knee flexors, hip adductors. Shoulder elevators and retractors, chest.","[[Añjanēyāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis extensors, adductors), external rotators of the leg, knee flexors. Back leg: hip extensors, knee extensors, foot dorsiflexors. Back extensors, transversus abdominis, obliques, shoulder abductors, retractors, and protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana D]], [[Tāḍāsana]], [[Vasiṣṭhāsana]].","Reverse Warrior, [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Ardhacandrāsana]], Svarga Dvijasana, Dancing Warrior series.","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Gomukhāsana B]], [[Paścimottānāsana A]], [[Bālāsana]]."
Padahastasana,पादहस्तासन​,Pādahastāsana,Hand to Foot Pose,Pāda = foot; Hasta = hand,ādhāra,Pādāṅguṣṭhāsana,Utthitatrikoṇāsana,x,,,,8,"Calves, knee flexors, hip extensors, back extensors, shoulder elevators, wrist extensors.",[[Pādāṅguṣṭhāsana]] and its Prep poses.,"Hip flexors, internal rotators of the leg, rotators, knee extensors, intrinsic foot muscles, transversus abdominis, back extensors, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Pādāṅguṣṭhāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]].","[[Tāḍāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Marīchyāsana]]."
Padangusthasana,पादाङ्गुष्ठासन​,Pādāṅguṣṭhāsana,Big Toe Pose,Pāda = foot; Aṅguṣṭha = big toe,ādhāra,Sūryanamaskāra B,Pādahastāsana,x,,x,Vitalidad,8,"Calves, knee flexors, hip extensors, back extensors, shoulder elevators.","[[Tāḍāsana]], [[Uttānāsana]].","Hip flexors, internal rotators of the leg, knee extensors, intrinsic foot muscles, transversus abdominis, back extensors, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Pādahastāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]].","[[Tāḍāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Marīchyāsana]]."
Parivritta Parshvakonasana,परिवृत्तपार्श्वकोणासन,Parivṛttapārśvakoṇāsana,Revolved Side Angle Pose,Parivṛtta = revolved; Pārśva = side; Koṇa = angle,ādhāra,Utthitapārśvakoṇāsana,Prasāritapādottānāsana A,x,,x,Vitalidad,5,"Front leg: calf, hip extensors, external rotators of the leg. Back leg: calf, knee flexors, hip flexors. Obliques, chest. Gesture arm: shoulder flexors. Grounded arm: shoulder elevators.","[[Añjanēyāsana]], [[Ālāsana]], [[Gomukhāsana B]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), knee flexors. Back leg: hip extensors, knee extensors, back extensors, transversus abdominis, obliques, shoulder retractors and protractors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardha Matsyendrāsana]], [[Ālāsana]], [[Marīchyāsana C]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttotkaṭāsana]], [[Ekapādabakāsana A]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]].","Transition to [[Kouṇḍinyāsana B]], hold five breaths, then [[Chaturāṅgadaṇḍāsana]]; [[Mṛgāsana]], [[Marīchyāsana C]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Baddhakoṇāsana B]]"
Parivritta Trikonasana,परिवृत्तत्रिकोणासन,Parivṛttatrikoṇāsana,Revolved Triangle Pose,Parivṛtta = revolved; Trikoṇa = triangle,ādhāra,Utthitatrikoṇāsana,Utthitapārśvakoṇāsana,x,,x,Conexion,8,"Front leg: calf, knee extensors, hip adductors and extensors, internal rotators of the leg. Back leg: calf, knee flexors, hip abductors and flexors, internal rotators of the leg. Obliques, chest, shoulder retractors and elevators, neck.","Parivrtta [[Ālāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana A]], [[Utthitatrikoṇāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), knee extensors. Back leg: hip extensors, knee extensors, back extensors, transversus abdominis, obliques, shoulder retractors and protractors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Ālāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana A]].",Transition to[[Parivṛttārdhacandrāsana]].,"[[Tāḍāsana]], [[Uttānāsana]], [[Vinyāsa]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Baddhakoṇāsana B]], [[Ardha Matsyendrāsana]], [[Marīchyāsana C]]."
