Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Uttasana,उत्तासन,Uttānāsana,Standing Forward Bend,Ut = intense; Tān = stretch; Āsana = posture,,,,,x,x,Despertar,8,"Calves, knee flexors, hip extensors, back extensors, shoulder elevators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]].","Intrinsic foot muscles, knee extensors, hip flexors and extensors, back extensors, transversus abdominis, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana A]] and [[Prasāritapādottānāsana B]], [[Tāḍāsana]], [[Utkaṭāsana]].","[[Pādāṅguṣṭhāsana]], [[Pādahastāsana]], [[Vṛkṣāsana]], [[Paścimottānāsana A]].","[[Mālāsana]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Bālāsana]], [[Śavāsana]].",092
Ustrasana,उष्ट्रासन​,Uṣṭrāsana,Camel Pose,Uṣṭra = camel,nāḍī śodhana,Pārśva Dhanurāsana,Uṣṭrāsana,x,,x,Apertura,13,"Foot dorsiflexors, knee extensors, abdominals, chest, throat, elbow flexors.","[[Añjanēyāsana]], Salabhasana, [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Vīrabhadrāsana A]]","Knee extensors, hip adductors and extensors, internal rotators of the leg, back extensors, abdominals, shoulder stabilizers (emphasis retractors, extensors), external rotators of the arm, elbow flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]].","[[Pūrvottānāsana]], [[Laghu Vajrāsana]], [[Kapotāsana B]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]].",093
Vajrasana A,वज्रासन A,Vajrāsana A,Thunderbolt Pose A,Vajra = thunderbolt/diamond; Āsana = posture,,,,,x,,,3,"Foot dorsiflexors, knee flexors, hip abductors and flexors, abdominals, chest, shoulder extensors.","[[Añjanēyāsana]], [[Ūrdhva Dhanurāsana]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","Hip extensors, internal rotators of the leg, knee flexors, transversus abdominis, shoulder retractors and flexors, elbow extensors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharadvājāsana]] and B, [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Garuḍāsana]], [[Matsyāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","[[Laghu Vajrāsana]], [[Kapotāsana B]],[[Rājakapotāsana]], curl toes under for [[Supta Vajrāsana]]","[[Bharmanāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Ānandabālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]].",094
Vasisthasana,वसिष्ठासन​,Vasiṣṭhāsana,Side Plank Pose,Named after Sage Vasiṣṭha,tṛtīya śreṇī,Pārśvottānāsana,Vasiṣṭhāsana,x,,x,Entrega,4,"Shoulder elevators and retractors, chest.","[[Adhomukhaśvānāsana]], [[Ardhacandrāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana B]] and D, [[Suptapādāṅguṣṭhāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Grounded leg: intrinsic foot muscles. Hip stabilizers, (emphasis abductors, external rotators of the leg). Extended leg: external rotators, hip flexors. Knee extensors, back extensors, transversus abdominis, obliques. Grounded arm: wrist synergists. Top arm: shoulder retractors, protractors, and flexors. Elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhacandrāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Chaturāṅgadaṇḍāsana]], [[Parighāsana]], [[Phalakāsana]], [[Tāḍāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",Transition to [[Vasiṣṭhāsana]] or [[Kouṇḍinyāsana A]] A.,"[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Gomukhāsana B]], [[Bhuja]], [[Bālāsana]].",095
Viparita Chakrasana,विपरीच्चक्रासन,Viparīccakrāsana,Inverted Wheel Pose,Viparīta = inverted; Cakra = wheel,pṛṣṭhavakrāsana,Ūrdhva Dhanurāsana,Paścimottānāsana,x,,,,10,"Wrist flexors, shoulder elevators and retractors, throat, chest, abdominals, hip flexors.","[[Adhomukhavṛkṣāsana]], [[Baddhakoṇāsana A]], [[Piñchamayūrāsana]], [[Adhomukhaśvānāsana]], [[Rājakapotāsana]], [[Ekapādarājakapotāsana]].","Wrist flexors, elbow flexors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip flexors and adductors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Piñchamayūrāsana]], [[Garuḍāsana]], [[Phalakāsana]],[[Rājakapotāsana]], [[Śalabhāsana B]], [[Śīrṣāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Tāḍāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","With [[Adhomukhavṛkṣāsana]] arms: Drop into [[Ūrdhva Dhanurāsana]], ticktocks.","[[Marīchyāsana]], [[Apānāsana]], [[Bālāsana]].",096
Virabhadrasana A,वीरभद्रासन A,Vīrabhadrāsana A,Warrior I,Named after Virabhadra,yoga cikitsā,Utkaṭāsana,Vīrabhadrāsana A,x,,x,Despertar,5,"Front leg: hip extensors, knee extensors. Back leg: calf, hip flexors, internal rotators of the leg, knee flexors. Abdominals, chest, shoulder retractors, extensors, and elevators.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Gomukhāsana B]], [[Tāḍāsana]], [[Vīrabhadrāsana B]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis extensors, adductors), knee flexors. Back leg: foot dorsiflexors, hip flexors, knee extensors, back extensors, transversus abdominis, shoulder retractors and protractors, external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Tāḍāsana]], [[Tāḍāsana]], [[Ūrdhvamukhaśvānāsana]], [[Utkaṭāsana]], [[Ekapādabakāsana A]].","Dancing Warrior series, transition into other standing asanas, use alternate arm positions: [[Garuḍāsana]] or [[Gomukhāsana B]] arms, Parivrtta [[Ālāsana]], [[Parivṛttapārśvakoṇāsana]], [[Vīrabhadrāsana C]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Ānandabālāsana]], [[Bālāsana]].",097
Virabhadrasana A,वीरभद्रासन A,Vīrabhadrāsana A,Warrior I,Named after Virabhadra,yoga cikitsā,Utkaṭāsana,Vīrabhadrāsana A,x,,x,Despertar,5,"Foot dorsiflexors, knee extensors, hip abductors and flexors.","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Gomukhāsana B]].","Hip flexors, internal rotators of the leg, knee flexors, transversus abdominis, shoulder retractors and protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bālāsana]], [[Bharadvājāsana]] and B, [[Bharmanāsana]], [[Garuḍāsana]], [[Utkaṭāsana]].","[[Vajrāsana A]], [[Bhekāsana]], [[Tryaṅgamukhaikapāda Paścimottānāsana]].","[[Phalakāsana]], [[Adhomukhaśvānāsana]].",098
Virabhadrasana B,वीरभद्रासन B,Vīrabhadrāsana B,Warrior II,Named after Virabhadra,yoga cikitsā,Vīrabhadrāsana A,Vīrabhadrāsana B,x,,x,Vitalidad,5,"Front leg: hip extensors, adductors, and internal rotators. Back leg: calf, knee flexors, hip adductors. Shoulder elevators and retractors, chest.","[[Añjanēyāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis extensors, adductors), external rotators of the leg, knee flexors. Back leg: hip extensors, knee extensors, foot dorsiflexors. Back extensors, transversus abdominis, obliques, shoulder abductors, retractors, and protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana D]], [[Tāḍāsana]], [[Vasiṣṭhāsana]].","Reverse Warrior, [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Ardhacandrāsana]], Svarga Dvijasana, Dancing Warrior series.","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Gomukhāsana B]], [[Paścimottānāsana A]], [[Bālāsana]].",099
Virabhadrasana C,वीरभद्रासन C,Vīrabhadrāsana C,Warrior Pose C,Virabhadra = fierce warrior; Āsana = posture,,,,,,x,Equilibrio,5,"Standing leg: calf, knee, flexors, hip extensors. Gesture leg: foot dorsiflexors, knee flexors, hip flexors. Shoulder extensors, elevators, and retractors.","[[Añjanēyāsana]], [[Ālāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Uttānāsana]], [[Vīrabhadrāsana A]], [[Vṛkṣāsana]].","Standing leg: intrinsic foot muscles, knee extensors. Back extensors, transversus abdominis, hip stabilizers (emphasis extensors, adductors, standing hip flexors), internal rotators of the leg, shoulder flexors, protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Pārśvottānāsana]], [[Phalakāsana]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Utthitahastapādāṅguṣṭhāsana A]] , [[Vīrabhadrāsana A]], [[Vṛkṣāsana]].",,"[[Mālāsana]], [[Garuḍāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]].",100
Vrksasana,वृक्षासन,Vṛkṣāsana,Tree Pose,Vṛkṣa = tree; Āsana = posture,,,,,,x,Equilibrio,10,"Standing leg: hip flexors. Gesture leg: hip adductors, internal rotators of the leg. Knee extensors, shoulder elevators, extensors, and retractors, elbow flexors.","[[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]]","Grounded leg: intrinsic foot muscles, hip stabilizers, (emphasis adductors, internal rotators of the leg). Folded leg: hip flexors and external rotators, knee flexors, calf. Back extensors, transversus abdominis, shoulder retractors and protractors, external rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Baddhakoṇāsana B]], [[Bharmanāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]], [[Śīrṣāsana]], [[Tāḍāsana]], [[Tāḍāsana]], [[Vīrabhadrāsana B]].","Transition to [[Utthitahastapādāṅguṣṭhāsana A]], explore with eyes closed, [[Vasiṣṭhāsana]] with top leg in [[Vṛkṣāsana]] positioning.","[[Tāḍāsana]], [[Ardhottānāsana]], [[Uttānāsana]], [[Garuḍāsana]], [[Bālāsana]].",101
Akarna Dhanurasana,आकर्णधनुरासन,Ākarṇa Dhanurāsana,Archer’s Bow Pose,"Ākarṇa = up to the ear, Dhanuḥ = bow, āsana = posture",,,,,,,,4,"Grounded leg: calf, knee flexors. Gesture leg: hip adductors, internal rotators of the leg. Hip extensors, back extensors.","[[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Ekapādarājakapotāsana]] Prep, [[Jānuśīrṣāsana A]], [[Marīchyāsana A]], [[Padmāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]].","Extended leg: internal rotators of the leg, knee extensors, foot dorsiflexors. Raised leg: external rotators, knee flexors. Hip flexors, transversus abdominis, back extensors, obliques, shoulder retractors.","[[Adhomukhaśvānāsana]], [[Ardhabaddhapadmottānāsana]] Prep, [[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Ubhayapādāṅguṣṭhāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]].","[[Aṣṭavakrāsana]], [[Bhujapīḍāsana]], [[Mālāsana]], [[Tiṭṭibhāsana A]], [[Ekapādaśīrṣāsana]] series.","[[Apānāsana]], [[Vinyāsa]], [[Adhomukhaśvānāsana]].",102
Alasana,आलासन,Ālāsana,Lounge Pose,Ālā = relaxed/reclining; Āsana = posture,,,,,x,x,Vitalidad,5,"Back leg: calf, knee flexors, hip flexors. Front leg: hip extensors. Abdominals, shoulder elevators, extensors, protractors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Bharmanāsana]], [[Utkaṭāsana]], [[Ekapādabakāsana A]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis extensors, adductors) knee flexors. Back leg: foot dorsiflexors, hip flexors, knee extensors. Back extensors, transversus abdominis, shoulder retractors and protractors, external rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Añjanēyāsana]], [[Bharmanāsana]], [[Rājakapotāsana]], [[Garuḍāsana]], [[Prasāritapādottānāsana A]], [[Tāḍāsana]], [[Tāḍāsana]], [[Utkaṭāsana]], [[Uttānāsana]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",,,103
Shalabhasana A,शलभासन A,Śalabhāsana A,Locust Pose A,Śalabha = locust,nāḍī śodhana,Krouncāsana,Śalabhāsana A,x,,x,Apertura,13,"All: abdominals, hip flexors, knee flexors, foot dorsiflexors, chest, shoulder elevators, neck. A and C: shoulder flexors. B: shoulder extensors.","All [[Marīchyāsana]], [[Bālāsana]], [[Baddhakoṇāsana B]].","Back extensors, hip extensors and adductors, transversus abdominis, shoulder retractors, neck, knee extensors, foot dorsiflexors. A: shoulder extensors, elbow flexors, wrist synergists. B: Shoulder flexors, external rotators of the arm, elbow extensors. C: Shoulder extensors and adductors, wrist synergists.",[[Bharmanāsana]]. The Salabhasana poses are themselves prep for general practice and all back bends.,"[[Dhanurāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]].",104
Savasana,शवासन​,Śavāsana,Corpse Pose,Śava = corpse,samāpana,Utplutih,-,x,x,x,Entrega,3,Everything.,For integration following practice.,The floor—somewhat.,Final restorative after any practice.,"Often sequenced as the final pose of the practice; restorative pose, slowly transition up to sitting.","At the end of practice, allow at least five minutes in this asana; practice a shorter hold within an asana practice.",105
Sirsasana A,शीर्षासन​,Śīrṣāsana,Headstand,Śīrṣa = head,samāpana,Uttana Padasana,Baddha Padmasana,x,,,,11,Shoulder extensors and retractors.,"[[Adhomukhaśvānāsana]], [[Piñchamayūrāsana]], [[Phalakāsana]], [[Śīrṣāsana]]I, [[Baddhakoṇāsana A]], [[Uttānāsana]]; abdominal core work.","Elbow synergists, shoulder stabilizers (emphasis flexors, protractors, retractors), neck, obliques, abdominals, back extensors, hip flexors, adductors, and extensors, internal rotators of the leg, knee extensors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Chaturāṅgadaṇḍāsana]], [[Nāvāsana]], [[Phalakāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Tāḍāsana]], [[Uttānāsana]].","Twist to each side; fold legs into [[Padmāsana]] position, Parsvaikapada Sirsasana, Urdhva [[Daṇḍāsana]].","[[Bālāsana]], [[Adhomukhaśvānāsana]]: relax neck, let head hang, [[Śirṣa]], [[Sarvāṅgāsana]].",106
Sirsasana B,शीर्षासन ब्,Śīrṣāsana B,Headstand B,Śīrṣa = head; Āsana = posture,,,,,,x,Conexion,11,Shoulder retractors.,"[[Prasāritapādottānāsana B]], [[Ūrdhva Dhanurāsana]], [[Śīrṣāsana]] and its Prep poses.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors, retractors), external rotators of the arm, neck, obliques, abdominals, back extensors, hip flexors, adductors, and extensors, internal rotators of the leg, knee extensors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Nāvāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana A]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Tāḍāsana]], [[Uttānāsana]].",Arm balance vinyasa: [[Prasāritapādottānāsana A]] to [[Śīrṣāsana]] to [[Bakāsana B]] and back; transition to [[Chaturāṅgadaṇḍāsana]].,"[[Bālāsana]], [[Adhomukhaśvānāsana]], [[Śirṣa]], [[Sarvāṅgāsana]].",107
Urdhva Dhanurasana,ऊर्ध्व धनुरासन,Ūrdhva Dhanurāsana,Upward Bow Pose,Ūrdhva = upward; Dhanu = bow; Āsana = posture,pṛṣṭhavakrāsana,-,Paścimottānāsana,x,,x,Apertura,13,"Elbow flexors, shoulder flexors and elevators, chest, hip flexors, external rotators of the leg.","[[Bhekāsana]], [[Rājakapotāsana]], [[Dhanurāsana]], [[Śalabhāsana A]], [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), back extensors, hip extensors and adductors, internal rotators of the leg, intrinsic foot muscles.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana, [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Deeper back bends, such as [[Ūrdhva Dhanurāsana]], [[Rājakapotāsana]], Eka Pada variation, transition up to [[Sarvāṅgāsana]].","[[Apānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Ānandabālāsana]], [[Bālāsana]], [[Paścimottānāsana]].",108
Urdhva Dhanurasana,ऊर्ध्व धनुरासन,Ūrdhva Dhanurāsana,Upward Bow Pose,Ūrdhva = upward; Dhanu = bow; Āsana = posture,pṛṣṭhavakrāsana,-,Paścimottānāsana,x,,x,Apertura,13,"Hip flexors, external rotators of the leg, abdominals, chest, shoulder elevators, retractors and extensors, wrist flexors.","[[Rājakapotāsana]], ashtanga pranam, [[Chaturāṅgadaṇḍāsana]], [[Añjanēyāsana]], [[Phalakāsana]].","Wrist synergists, elbow extensors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip extensors and adductors, intrinsic foot muscles.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Dhanurāsana]], [[Garuḍāsana]] arms, [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","Maintaining parallel positioning of the feet, move hands closer to the feet; Eka Pada [[Ūrdhva Dhanurāsana]], [[Dvipādaviparītadaṇḍāsana]], drop-backs, ticktocks.","[[Apānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Ānandabālāsana]], [[Bālāsana]], [[Paścimottānāsana]].",109
Urdhva Kukkutasana,ऊर्ध्वकुक्कुतासन,Ūrdhvakukkutāsana,Upward Rooster Pose,Ūrdhva = upward; Kukkuta = rooster,tṛtīya śreṇī,Ūrdhvakukkutāsana C,Ūrdhvakukkutāsana,x,,,,"4,10","Wrist flexors, elbow flexors, shoulder elevators and retractors, back extensors, hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Bakāsana B]] and its Prep poses, [[Padmāsana]] and its Prep poses, [[Śīrṣāsana]]I.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest abdominals, hip adductors and flexors, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Chaturāṅgadaṇḍāsana]], [[Jānuśīrṣāsana A]], [[Kūrmāsana]], [[Lolasana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Tiṭṭibhāsana A]], [[Utplutiḥ]], [[Ekapādabakāsana A]].",Add to [[Śīrṣāsana]] vinyasa; transition into asana from [[Adhomukhavṛkṣāsana]].,"[[Vinyāsa]], [[Bālāsana]], [[Baddhakoṇāsana B]], [[Bhuja]].",110
Urdhva Mukha Paschimottanasana,ऊर्ध्वमुखपश्चिमोत्तानासन,Ūrdhvamukhapaścimottānāsana,Upward Facing Forward Bend,Ūrdhva = upward; Mukha = face; Paścima = west; Uttāna = intense stretch,yoga cikitsā,Ubhayapādāṅguṣṭhāsana,Ūrdhvamukhapaścimottānāsana,x,,,,"10,4","Hip extensors, back extensors, shoulder retractors, chest, shoulder elevators, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Nāvāsana]], [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]] .","Hip flexors, adductors, internal rotators of the leg, knee extensors, calves, back extensors, abdominals, shoulder protractors and retractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana D]], [[Paścimottānāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]] .",Transition to [[Nāvāsana]] and back.,"[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]].",111
Urdhva Mukha Svanasana,ऊर्ध्वमुखश्वानासन,Ūrdhvamukhaśvānāsana,Upward-Facing Dog Pose,Ūrdhva = upward; Mukha = face; Śvāna = dog; Āsana = posture,,,,,,x,Despertar,"13,2","Wrist flexors, elbow flexors, shoulder elevators and retractors, throat, chest, abdominals, hip flexors, knee flexors, calves.","[[Rājakapotāsana]], [[Chaturāṅgadaṇḍāsana]], [[Bhujaṅgāsana]], [[Phalakāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]].","Wrist synergists, elbow synergists, external rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, and retractors), transversus abdominis, back extensors, hip flexors, knee extensors, calves.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Śalabhāsana A]].","[[Rājakapotāsana]],[[Rājakapotāsana]].","[[Adhomukhaśvānāsana]], [[Ardha Matsyendrāsana]], [[Apānāsana]], [[Bālāsana]].",112
Urdhva Padmasana,ऊर्ध्वपद्मासन,Ūrdhvapadmāsana,Upward Lotus Pose,Ūrdhva = upward; Padma = lotus,samāpana,Karna Pidasana,Matsyasana,x,,,,"4,11","Neck, hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Baddhakoṇāsana B]], [[Padmāsana]] and its Prep poses, [[Sarvāṅgāsana]].","Shoulder stabilizers (emphasis retractors, adductors), neck, elbow extensors, back extensors, hip extensors, abdominals.","[[Adhomukhaśvānāsana]], [[Ardhabaddhapadmottānāsana]], [[Ardhottānāsana]], [[Baddhakoṇāsana B]], [[Halāsana]], [[Karṇapīḍāsana]], [[Mālāsana]], [[Padmāsana]], [[Paścimottānāsana A]], [[Phalakāsana]], [[Sarvāṅgāsana]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","In [[Sarvāṅgāsana]]: transition to [[Piṇḍāsana]], or lift knees up to extend Lotus and revolve to one side, then the other (one hand to sacrum); transition to Mayurasana.","[[Matsyāsana]], [[Uttānapādāsana]], [[Supta Matsyendrāsana]], [[Śavāsana]].",113
